country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
Transnistria,2020-01-31,,,,,,,,,,,,,-13.087197,-13.087197,-91.099976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-02-29,,,,,,,,,,,,,-10.658846,-11.983695,-152.89996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-03-31,,,,,,,,,,,,,0.09686399,-8.035666,-152.29999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-04-30,,,,,,,,,,,,,-13.475974,-9.229438,-224.09998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-05-31,,,,,,,,,,,,,-2.1024947,-7.800717,-236.89996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-06-30,,,,,,,,,,,,,7.8806453,-5.497653,-195.69995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-07-31,,,,,,,,,,,,,11.53924,-3.4247918,-138.79996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-08-31,,,,,,,,,,,,,-5.588016,-3.682287,-169.39993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-09-30,,,,,,,,,,,,,19.366127,-1.4804461,-75.29993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
Transnistria,2020-10-31,,,,,,,,,,,,,5.685381,-0.7544561,-42.69995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_TRS,Europe,,,,,,,,,,
