country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
Winter Olympics 2022,2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,1.4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,1.4359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,1.5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,1.5354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,1.5115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.4627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,1.4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,1.3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,1.1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,1.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.8318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,0.7146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,0.5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,0.4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.4542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,0.3195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,0.2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,0.2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,0.1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,0.1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,0.1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,0.2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,0.3157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,0.3879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Olympics 2022,2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,0.4983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
