country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
"World excl. China, South Korea, Japan and Singapore",2020-01-04,2.0,2.0,,0.0003149183,0.0003149183,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-05,1.0,0.0,,0.00015745914,0.0,,3.0,3.0,,0.00047237743,0.00047237743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-06,1.0,0.0,,0.00015745914,0.0,,3.0,0.0,,0.00047237743,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-07,1.0,0.0,,0.00015745914,0.0,,3.0,0.0,,0.00047237743,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-08,2.0,1.0,,0.0003149183,0.00015745914,,3.0,0.0,,0.00047237743,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-09,2.0,0.0,0.5,0.0003149183,0.0,7.872957e-05,3.0,0.0,0.5,0.00047237743,0.0,7.872957e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-10,2.0,0.0,0.42857143,0.0003149183,0.0,6.748249e-05,3.0,0.0,0.42857143,0.00047237743,0.0,6.748249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-11,2.0,0.0,0.14285715,0.0003149183,0.0,2.2494163e-05,3.0,0.0,0.42857143,0.00047237743,0.0,6.748249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-12,2.0,0.0,0.14285715,0.0003149183,0.0,2.2494163e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-13,3.0,1.0,0.2857143,0.00047237743,0.00015745914,4.4988326e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-14,3.0,0.0,0.2857143,0.00047237743,0.0,4.4988326e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-15,3.0,0.0,0.14285715,0.00047237743,0.0,2.2494163e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-16,3.0,0.0,0.14285715,0.00047237743,0.0,2.2494163e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-17,4.0,1.0,0.2857143,0.0006298366,0.00015745914,4.4988326e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-18,4.0,0.0,0.2857143,0.0006298366,0.0,4.4988326e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-19,6.0,2.0,0.5714286,0.00094475487,0.0003149183,8.997665e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-20,7.0,1.0,0.5714286,0.001102214,0.00015745914,8.997665e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-21,7.0,0.0,0.5714286,0.001102214,0.0,8.997665e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-22,7.0,0.0,0.5714286,0.001102214,0.0,8.997665e-05,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-23,10.0,3.0,1.0,0.0015745914,0.00047237743,0.00015745914,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-24,10.0,0.0,0.85714287,0.0015745914,0.0,0.00013496498,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-25,18.0,8.0,2.0,0.0028342647,0.0012596732,0.0003149183,3.0,0.0,0.0,0.00047237743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-26,33.0,15.0,3.857143,0.005196152,0.0023618871,0.0006073424,6.0,3.0,0.42857143,0.00094475487,0.00047237743,6.748249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-27,33.0,0.0,3.7142856,0.005196152,0.0,0.0005848482,6.0,0.0,0.42857143,0.00094475487,0.0,6.748249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-28,47.0,14.0,5.714286,0.0074005798,0.002204428,0.0008997665,6.0,0.0,0.42857143,0.00094475487,0.0,6.748249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-29,47.0,0.0,5.714286,0.0074005798,0.0,0.0008997665,6.0,0.0,0.42857143,0.00094475487,0.0,6.748249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-30,59.0,12.0,7.0,0.00929009,0.0018895097,0.001102214,6.0,0.0,0.42857143,0.00094475487,0.0,6.748249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-01-31,66.0,7.0,8.0,0.010392304,0.001102214,0.0012596732,6.0,0.0,0.42857143,0.00094475487,0.0,6.748249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-01,78.0,12.0,8.571428,0.012281813,0.0018895097,0.0013496497,7.0,1.0,0.5714286,0.001102214,0.00015745914,8.997665e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-02,99.0,21.0,9.428572,0.015588455,0.003306642,0.0014846148,11.0,4.0,0.71428573,0.0017320506,0.0006298366,0.000112470814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-03,103.0,4.0,10.0,0.016218292,0.0006298366,0.0015745914,11.0,0.0,0.71428573,0.0017320506,0.0,0.000112470814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-04,112.0,9.0,9.285714,0.017635424,0.0014171323,0.0014621206,12.0,1.0,0.85714287,0.0018895097,0.00015745914,0.00013496498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-05,148.0,36.0,14.428572,0.023303954,0.0056685293,0.0022719104,12.0,0.0,0.85714287,0.0018895097,0.0,0.00013496498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-06,154.0,6.0,13.571428,0.024248708,0.00094475487,0.0021369455,12.0,0.0,0.85714287,0.0018895097,0.0,0.00013496498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-07,156.0,6.0,13.428572,0.024563625,0.00094475487,0.0021144513,12.0,0.0,0.85714287,0.0018895097,0.0,0.00013496498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-08,167.0,11.0,13.285714,0.026295677,0.0017320506,0.0020919573,12.0,0.0,0.71428573,0.0018895097,0.0,0.000112470814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-09,203.0,36.0,15.428572,0.031964205,0.0056685293,0.0024293696,12.0,0.0,0.14285715,0.0018895097,0.0,2.2494163e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-10,208.0,5.0,15.571428,0.0327515,0.0007872957,0.0024518638,12.0,0.0,0.14285715,0.0018895097,0.0,2.2494163e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World excl. China, South Korea, Japan and Singapore",2020-02-11,211.0,3.0,14.714286,0.03322388,0.00047237743,0.002316899,12.0,0.0,0.0,0.0018895097,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
