country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
China,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-04,1.0,1.0,,0.000701666,0.000701666,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-05,1.0,0.0,,0.000701666,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-06,4.0,3.0,,0.002806664,0.0021049979,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-07,4.0,0.0,,0.002806664,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-08,4.0,0.0,,0.002806664,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-09,4.0,0.0,0.6666667,0.002806664,0.0,0.0004677773,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
China,2020-01-10,4.0,0.0,0.5714286,0.002806664,0.0,0.00040095198,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,CHN,Asia,1425179562.0,151.8052520751953,38.53400039672852,78.20210266113281,18187.841796875,0.0,10.600000381469728,97.20679473876952,4.309999942779541,
