country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
England,2020-03-20,,,,,,,,,,,,,,,,,1580.0,27.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-21,,,,,,,,,,,,,,,,,2152.0,38.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-22,,,,,,,,,,,,,,,,,2670.0,47.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-23,,,,,,,,,,,,,,,,,3183.0,56.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-24,,,,,,,,,,,,,,,,,3598.0,63.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-25,,,,,,,,,,,,,,,,,4402.0,77.843,7340.0,129.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-26,,,,,,,,,,,,,,,,,5226.0,92.414,8393.0,148.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-27,,,,,,,,,,,,,,,,,6462.0,114.271,9633.0,170.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-28,,,,,,,,,,,,,,,,,7269.0,128.541,10729.0,189.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-29,,,,,,,,,,,,,,,,,8424.0,148.966,12056.0,213.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-30,,,,,,,,,,,,,,,,,9852.0,174.218,13745.0,243.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-03-31,,,,,,,,,,,,,,,,,11154.0,197.241,14648.0,259.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-01,,,,,,,,,,,,,,,,,12059.0,213.245,15992.0,282.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-02,,,,,,,,,,,,,,,,,12135.0,214.589,17285.0,305.659,1494.0,26.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-03,,,,,,,,,,,,,,,,,13635.0,241.114,17918.0,316.852,1788.0,31.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-04,,,,,,,,,,,,,,,,,15469.0,273.546,18638.0,329.584,1950.0,34.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-05,,,,,,,,,,,,,,,,,16657.0,294.553,19044.0,336.764,2097.0,37.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-06,,,,,,,,,,,,,,,,,17154.0,303.342,18906.0,334.324,2264.0,40.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-07,,,,,,,,,,,,,,,,,17814.0,315.013,19203.0,339.576,2472.0,43.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-08,,,,,,,,,,,,,,,,,18152.0,320.99,18723.0,331.088,2561.0,45.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-09,,,,,,,,,,,,,,,,,18423.0,325.782,18131.0,320.619,2546.0,45.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-10,,,,,,,,,,,,,,,,,18669.0,330.133,17763.0,314.111,2820.0,49.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-11,,,,,,,,,,,,,,,,,18604.0,328.983,17125.0,302.829,2865.0,50.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-12,,,,,,,,,,,,,,,,,18974.0,335.526,16324.0,288.665,2881.0,50.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-13,,,,,,,,,,,,,,,,,18621.0,329.284,15557.0,275.102,2872.0,50.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-14,,,,,,,,,,,,,,,,,18552.0,328.064,14672.0,259.452,2849.0,50.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-15,,,,,,,,,,,,,,,,,17934.0,317.135,13661.0,241.574,2847.0,50.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-16,,,,,,,,,,,,,,,,,17783.0,314.465,13098.0,231.618,2838.0,50.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-17,,,,,,,,,,,,,,,,,16728.0,295.809,12576.0,222.387,2780.0,49.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-18,,,,,,,,,,,,,,,,,16850.0,297.966,12032.0,212.767,2868.0,50.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-19,,,,,,,,,,,,,,,,,16928.0,299.346,11716.0,207.179,2820.0,49.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-20,,,,,,,,,,,,,,,,,16654.0,294.5,11326.0,200.283,2780.0,49.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-21,,,,,,,,,,,,,,,,,16517.0,292.078,10962.0,193.846,2701.0,47.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-22,,,,,,,,,,,,,,,,,16018.0,283.254,10664.0,188.576,2646.0,46.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-23,,,,,,,,,,,,,,,,,15402.0,272.361,10176.0,179.947,2563.0,45.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-24,,,,,,,,,,,,,,,,,14642.0,258.921,9779.0,172.927,2414.0,42.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-25,,,,,,,,,,,,,,,,,14202.0,251.141,9448.0,167.073,2405.0,42.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-26,,,,,,,,,,,,,,,,,14174.0,250.645,9181.0,162.352,2309.0,40.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-27,,,,,,,,,,,,,,,,,14255.0,252.078,9003.0,159.204,2194.0,38.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-28,,,,,,,,,,,,,,,,,13565.0,239.876,8804.0,155.685,2093.0,37.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-29,,,,,,,,,,,,,,,,,13224.0,233.846,8789.0,155.42,2045.0,36.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-04-30,,,,,,,,,,,,,,,,,12922.0,228.506,8727.0,154.324,1991.0,35.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-01,,,,,,,,,,,,,,,,,12623.0,223.218,8531.0,150.858,1954.0,34.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-02,,,,,,,,,,,,,,,,,12314.0,217.754,8431.0,149.089,1844.0,32.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-03,,,,,,,,,,,,,,,,,12119.0,214.306,8267.0,146.189,1795.0,31.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-04,,,,,,,,,,,,,,,,,12020.0,212.555,7986.0,141.22,1724.0,30.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-05,,,,,,,,,,,,,,,,,11754.0,207.851,7649.0,135.261,1662.0,29.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-06,,,,,,,,,,,,,,,,,11227.0,198.532,7394.0,130.752,1610.0,28.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-07,,,,,,,,,,,,,,,,,10726.0,189.673,7165.0,126.702,1493.0,26.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-08,,,,,,,,,,,,,,,,,10249.0,181.238,6827.0,120.725,1446.0,25.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-09,,,,,,,,,,,,,,,,,10176.0,179.947,6645.0,117.507,1398.0,24.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-10,,,,,,,,,,,,,,,,,9893.0,174.943,6357.0,112.414,1362.0,24.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2020-05-11,,,,,,,,,,,,,,,,,10109.0,178.762,6160.0,108.93,1316.0,23.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
