country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
European Union (27),2020-01-04,2.0,2.0,,0.004457098,0.004457098,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-05,1.0,0.0,,0.002228549,0.0,,3.0,3.0,,0.006685647,0.006685647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-06,1.0,0.0,,0.002228549,0.0,,3.0,0.0,,0.006685647,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-07,1.0,0.0,,0.002228549,0.0,,3.0,0.0,,0.006685647,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-08,1.0,0.0,,0.002228549,0.0,,3.0,0.0,,0.006685647,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-09,1.0,0.0,0.33333334,0.002228549,0.0,0.00074284966,3.0,0.0,0.5,0.006685647,0.0,0.0011142745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-10,1.0,0.0,0.2857143,0.002228549,0.0,0.0006367283,3.0,0.0,0.42857143,0.006685647,0.0,0.00095509243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-11,1.0,0.0,0.0,0.002228549,0.0,0.0,3.0,0.0,0.42857143,0.006685647,0.0,0.00095509243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-12,1.0,0.0,0.0,0.002228549,0.0,0.0,3.0,0.0,0.0,0.006685647,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
European Union (27),2020-01-13,1.0,0.0,0.0,0.002228549,0.0,0.0,3.0,0.0,0.0,0.006685647,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWID_EU27,,449113463.0,112.37439727783205,,,45977.41796875,,6.60714864730835,,4.594189643859863,
