country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
High-income countries,2020-01-04,2.0,2.0,,0.0014512409,0.0014512409,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-05,1.0,0.0,,0.0007256204,0.0,,3.0,3.0,,0.0021768613,0.0021768613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-06,1.0,0.0,,0.0007256204,0.0,,3.0,0.0,,0.0021768613,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-07,1.0,0.0,,0.0007256204,0.0,,3.0,0.0,,0.0021768613,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-08,2.0,1.0,,0.0014512409,0.0007256204,,3.0,0.0,,0.0021768613,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-09,2.0,0.0,0.5,0.0014512409,0.0,0.0003628102,3.0,0.0,0.5,0.0021768613,0.0,0.0003628102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-10,2.0,0.0,0.42857143,0.0014512409,0.0,0.0003109802,3.0,0.0,0.42857143,0.0021768613,0.0,0.0003109802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-11,2.0,0.0,0.14285715,0.0014512409,0.0,0.00010366006,3.0,0.0,0.42857143,0.0021768613,0.0,0.0003109802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-12,2.0,0.0,0.14285715,0.0014512409,0.0,0.00010366006,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-13,2.0,0.0,0.14285715,0.0014512409,0.0,0.00010366006,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-14,3.0,1.0,0.2857143,0.0021768613,0.0007256204,0.00020732012,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-15,3.0,0.0,0.14285715,0.0021768613,0.0,0.00010366006,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-16,3.0,0.0,0.14285715,0.0021768613,0.0,0.00010366006,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-17,3.0,0.0,0.14285715,0.0021768613,0.0,0.00010366006,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-18,3.0,0.0,0.14285715,0.0021768613,0.0,0.00010366006,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-19,6.0,3.0,0.5714286,0.0043537226,0.0021768613,0.00041464024,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-20,7.0,1.0,0.71428573,0.005079343,0.0007256204,0.0005183003,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-21,7.0,0.0,0.5714286,0.005079343,0.0,0.00041464024,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-22,7.0,0.0,0.5714286,0.005079343,0.0,0.00041464024,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-23,7.0,0.0,0.5714286,0.005079343,0.0,0.00041464024,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-24,9.0,2.0,0.85714287,0.006530584,0.0014512409,0.0006219604,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-25,18.0,9.0,2.142857,0.013061168,0.006530584,0.0015549009,3.0,0.0,0.0,0.0021768613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-26,31.0,13.0,3.5714285,0.022494232,0.009433066,0.0025915015,6.0,3.0,0.42857143,0.0043537226,0.0021768613,0.0003109802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-27,33.0,2.0,3.7142856,0.023945473,0.0014512409,0.0026951616,6.0,0.0,0.42857143,0.0043537226,0.0,0.0003109802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-28,37.0,4.0,4.285714,0.026847955,0.0029024817,0.0031098018,6.0,0.0,0.42857143,0.0043537226,0.0,0.0003109802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-29,42.0,5.0,5.0,0.030476058,0.0036281021,0.0036281021,6.0,0.0,0.42857143,0.0043537226,0.0,0.0003109802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-30,57.0,15.0,7.142857,0.041360363,0.010884306,0.005183003,6.0,0.0,0.42857143,0.0043537226,0.0,0.0003109802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-01-31,73.0,16.0,9.142858,0.05297029,0.011609927,0.0066342438,6.0,0.0,0.42857143,0.0043537226,0.0,0.0003109802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-01,82.0,9.0,9.142858,0.059500873,0.006530584,0.0066342438,7.0,1.0,0.5714286,0.005079343,0.0007256204,0.00041464024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-02,108.0,26.0,11.0,0.078367,0.018866131,0.007981825,10.0,3.0,0.5714286,0.0072562043,0.0021768613,0.00041464024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-03,114.0,6.0,11.571428,0.08272073,0.0043537226,0.008396464,10.0,0.0,0.5714286,0.0072562043,0.0,0.00041464024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-04,123.0,9.0,12.285714,0.08925131,0.006530584,0.008914765,11.0,1.0,0.71428573,0.007981825,0.0007256204,0.0005183003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-05,163.0,40.0,17.285715,0.11827613,0.029024817,0.012542867,11.0,0.0,0.71428573,0.007981825,0.0,0.0005183003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-06,175.0,12.0,16.857143,0.12698357,0.008707445,0.012231887,11.0,0.0,0.71428573,0.007981825,0.0,0.0005183003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-07,175.0,4.0,15.142858,0.12698357,0.0029024817,0.010987966,11.0,0.0,0.71428573,0.007981825,0.0,0.0005183003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-08,180.0,5.0,14.571428,0.13061167,0.0036281021,0.010573326,11.0,0.0,0.5714286,0.007981825,0.0,0.00041464024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-09,225.0,45.0,17.285715,0.16326459,0.03265292,0.012542867,11.0,0.0,0.14285715,0.007981825,0.0,0.00010366006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
High-income countries,2020-02-10,232.0,7.0,17.428572,0.16834393,0.005079343,0.012646527,11.0,0.0,0.14285715,0.007981825,0.0,0.00010366006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,51743.6796875,,8.386144638061523,,5.280971050262451,
