country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
Northern Ireland,2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-10,,,,,,,,,,,,,,,,,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-11,,,,,,,,,,,,,,,,,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-12,,,,,,,,,,,,,,,,,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-13,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-14,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-15,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-16,,,,,,,,,,,,,,,,,1.0,0.527,2.0,1.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-17,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-18,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-19,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-20,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-21,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-22,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-23,,,,,,,,,,,,,,,,,7.0,3.692,7.0,3.692,6.0,3.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-24,,,,,,,,,,,,,,,,,10.0,5.274,10.0,5.274,2.0,1.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-25,,,,,,,,,,,,,,,,,13.0,6.857,13.0,6.857,10.0,5.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-26,,,,,,,,,,,,,,,,,17.0,8.966,18.0,9.494,10.0,5.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-27,,,,,,,,,,,,,,,,,22.0,11.603,27.0,14.241,15.0,7.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-28,,,,,,,,,,,,,,,,,32.0,16.878,38.0,20.042,19.0,10.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-29,,,,,,,,,,,,,,,,,39.0,20.57,50.0,26.371,26.0,13.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-30,,,,,,,,,,,,,,,,,43.0,22.679,53.0,27.954,25.0,13.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-03-31,,,,,,,,,,,,,,,,,60.0,31.646,68.0,35.865,32.0,16.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-01,,,,,,,,,,,,,,,,,74.0,39.03,81.0,42.722,46.0,24.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-02,,,,,,,,,,,,,,,,,80.0,42.194,91.0,47.996,47.0,24.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-03,,,,,,,,,,,,,,,,,87.0,45.886,99.0,52.215,46.0,24.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-04,,,,,,,,,,,,,,,,,97.0,51.16,106.0,55.907,45.0,23.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-05,,,,,,,,,,,,,,,,,94.0,49.578,102.0,53.797,44.0,23.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-06,,,,,,,,,,,,,,,,,105.0,55.38,112.0,59.072,44.0,23.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-07,,,,,,,,,,,,,,,,,120.0,63.291,120.0,63.291,49.0,25.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-08,,,,,,,,,,,,,,,,,129.0,68.038,123.0,64.873,46.0,24.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-09,,,,,,,,,,,,,,,,,137.0,72.257,132.0,69.62,44.0,23.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-10,,,,,,,,,,,,,,,,,129.0,68.038,123.0,64.873,48.0,25.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-11,,,,,,,,,,,,,,,,,139.0,73.312,123.0,64.873,48.0,25.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-12,,,,,,,,,,,,,,,,,145.0,76.477,132.0,69.62,46.0,24.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-13,,,,,,,,,,,,,,,,,144.0,75.949,127.0,66.983,39.0,20.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-14,,,,,,,,,,,,,,,,,140.0,73.84,119.0,62.764,38.0,20.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-15,,,,,,,,,,,,,,,,,136.0,71.73,119.0,62.764,36.0,18.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-16,,,,,,,,,,,,,,,,,144.0,75.949,113.0,59.599,33.0,17.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-17,,,,,,,,,,,,,,,,,148.0,78.059,125.0,65.928,34.0,17.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-18,,,,,,,,,,,,,,,,,149.0,78.586,114.0,60.127,33.0,17.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-19,,,,,,,,,,,,,,,,,152.0,80.169,110.0,58.017,29.0,15.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-20,,,,,,,,,,,,,,,,,158.0,83.333,118.0,62.236,31.0,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-21,,,,,,,,,,,,,,,,,165.0,87.025,118.0,62.236,34.0,17.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,2020-04-22,,,,,,,,,,,,,,,,,160.0,84.388,114.0,60.127,31.0,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
