country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
Wales,2020-04-01,,,,,,,,,,,,,,,,,483.0,152.366,,,100.0,31.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-02,,,,,,,,,,,,,,,,,525.0,165.615,,,110.0,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-03,,,,,,,,,,,,,,,,,568.0,179.18,,,110.0,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-04,,,,,,,,,,,,,,,,,596.0,188.013,,,122.0,38.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-05,,,,,,,,,,,,,,,,,664.0,209.464,,,131.0,41.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-06,,,,,,,,,,,,,,,,,731.0,230.599,,,137.0,43.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-07,,,,,,,,,,,,,,,,,738.0,232.808,1043.0,329.022,144.0,45.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-08,,,,,,,,,,,,,,,,,816.0,257.413,994.0,313.565,150.0,47.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-09,,,,,,,,,,,,,,,,,795.0,250.789,981.0,309.464,161.0,50.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-10,,,,,,,,,,,,,,,,,833.0,262.776,1000.0,315.457,153.0,48.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-11,,,,,,,,,,,,,,,,,865.0,272.871,972.0,306.625,149.0,47.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-12,,,,,,,,,,,,,,,,,910.0,287.066,1006.0,317.35,153.0,48.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-13,,,,,,,,,,,,,,,,,897.0,282.965,1013.0,319.558,155.0,48.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-14,,,,,,,,,,,,,,,,,919.0,289.905,923.0,291.167,151.0,47.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-15,,,,,,,,,,,,,,,,,884.0,278.864,916.0,288.959,150.0,47.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-16,,,,,,,,,,,,,,,,,844.0,266.246,894.0,282.019,155.0,48.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-17,,,,,,,,,,,,,,,,,825.0,260.252,916.0,288.959,159.0,50.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-18,,,,,,,,,,,,,,,,,818.0,258.044,939.0,296.215,164.0,51.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-19,,,,,,,,,,,,,,,,,828.0,261.199,873.0,275.394,153.0,48.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-20,,,,,,,,,,,,,,,,,853.0,269.085,857.0,270.347,150.0,47.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-21,,,,,,,,,,,,,,,,,838.0,264.353,868.0,273.817,135.0,42.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-22,,,,,,,,,,,,,,,,,773.0,243.849,844.0,266.246,132.0,41.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-23,,,,,,,,,,,,,,,,,741.0,233.754,874.0,275.71,123.0,38.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-24,,,,,,,,,,,,,,,,,743.0,234.385,858.0,270.662,119.0,37.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-25,,,,,,,,,,,,,,,,,719.0,226.814,841.0,265.3,126.0,39.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-26,,,,,,,,,,,,,,,,,710.0,223.975,836.0,263.722,111.0,35.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-27,,,,,,,,,,,,,,,,,734.0,231.546,817.0,257.729,105.0,33.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-28,,,,,,,,,,,,,,,,,676.0,213.249,839.0,264.669,107.0,33.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-29,,,,,,,,,,,,,,,,,664.0,209.464,839.0,264.669,101.0,31.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-04-30,,,,,,,,,,,,,,,,,643.0,202.839,837.0,264.038,99.0,31.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-01,,,,,,,,,,,,,,,,,529.0,166.877,809.0,255.205,92.0,29.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-02,,,,,,,,,,,,,,,,,521.0,164.353,839.0,264.669,93.0,29.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-03,,,,,,,,,,,,,,,,,539.0,170.032,836.0,263.722,94.0,29.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-04,,,,,,,,,,,,,,,,,538.0,169.716,862.0,271.924,92.0,29.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-05,,,,,,,,,,,,,,,,,501.0,158.044,859.0,270.978,87.0,27.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-06,,,,,,,,,,,,,,,,,478.0,150.789,835.0,263.407,81.0,25.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-07,,,,,,,,,,,,,,,,,470.0,148.265,822.0,259.306,84.0,26.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-08,,,,,,,,,,,,,,,,,416.0,131.23,842.0,265.615,89.0,28.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-09,,,,,,,,,,,,,,,,,448.0,141.325,806.0,254.259,75.0,23.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-10,,,,,,,,,,,,,,,,,461.0,145.426,826.0,260.568,78.0,24.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-11,,,,,,,,,,,,,,,,,465.0,146.688,813.0,256.467,76.0,23.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-12,,,,,,,,,,,,,,,,,425.0,134.069,769.0,242.587,72.0,22.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-13,,,,,,,,,,,,,,,,,394.0,124.29,785.0,247.634,66.0,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-14,,,,,,,,,,,,,,,,,364.0,114.826,771.0,243.218,69.0,21.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-15,,,,,,,,,,,,,,,,,336.0,105.994,732.0,230.915,56.0,17.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-16,,,,,,,,,,,,,,,,,378.0,119.243,743.0,234.385,62.0,19.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-17,,,,,,,,,,,,,,,,,373.0,117.666,727.0,229.338,60.0,18.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-18,,,,,,,,,,,,,,,,,356.0,112.303,696.0,219.558,59.0,18.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-19,,,,,,,,,,,,,,,,,329.0,103.785,709.0,223.659,64.0,20.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-20,,,,,,,,,,,,,,,,,324.0,102.208,685.0,216.088,55.0,17.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-21,,,,,,,,,,,,,,,,,309.0,97.476,685.0,216.088,57.0,17.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-22,,,,,,,,,,,,,,,,,385.0,121.451,678.0,213.88,58.0,18.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-23,,,,,,,,,,,,,,,,,383.0,120.82,682.0,215.142,58.0,18.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-24,,,,,,,,,,,,,,,,,393.0,123.975,662.0,208.833,52.0,16.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-25,,,,,,,,,,,,,,,,,380.0,119.874,667.0,210.41,47.0,14.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-26,,,,,,,,,,,,,,,,,436.0,137.539,658.0,207.571,51.0,16.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-27,,,,,,,,,,,,,,,,,425.0,134.069,669.0,211.041,44.0,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-28,,,,,,,,,,,,,,,,,438.0,138.17,684.0,215.773,46.0,14.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-29,,,,,,,,,,,,,,,,,431.0,135.962,702.0,221.451,45.0,14.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-30,,,,,,,,,,,,,,,,,423.0,133.438,674.0,212.618,39.0,12.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-05-31,,,,,,,,,,,,,,,,,433.0,136.593,664.0,209.464,42.0,13.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-06-01,,,,,,,,,,,,,,,,,431.0,135.962,655.0,206.625,37.0,11.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-06-02,,,,,,,,,,,,,,,,,427.0,134.7,665.0,209.779,44.0,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-06-03,,,,,,,,,,,,,,,,,399.0,125.868,690.0,217.666,42.0,13.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-06-04,,,,,,,,,,,,,,,,,395.0,124.606,667.0,210.41,42.0,13.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2020-06-05,,,,,,,,,,,,,,,,,392.0,123.659,650.0,205.047,44.0,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
