country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
World excl. China and South Korea,2020-01-04,2.0,2.0,,0.00030857048,0.00030857048,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-05,1.0,0.0,,0.00015428524,0.0,,3.0,3.0,,0.00046285574,0.00046285574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-06,1.0,0.0,,0.00015428524,0.0,,3.0,0.0,,0.00046285574,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-07,1.0,0.0,,0.00015428524,0.0,,3.0,0.0,,0.00046285574,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-08,2.0,1.0,,0.00030857048,0.00015428524,,3.0,0.0,,0.00046285574,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-09,2.0,0.0,0.5,0.00030857048,0.0,7.714262e-05,3.0,0.0,0.5,0.00046285574,0.0,7.714262e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-10,2.0,0.0,0.42857143,0.00030857048,0.0,6.6122244e-05,3.0,0.0,0.42857143,0.00046285574,0.0,6.6122244e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-11,2.0,0.0,0.14285715,0.00030857048,0.0,2.204075e-05,3.0,0.0,0.42857143,0.00046285574,0.0,6.6122244e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-12,2.0,0.0,0.14285715,0.00030857048,0.0,2.204075e-05,3.0,0.0,0.0,0.00046285574,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-13,3.0,1.0,0.2857143,0.00046285574,0.00015428524,4.40815e-05,3.0,0.0,0.0,0.00046285574,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-14,4.0,1.0,0.42857143,0.00061714096,0.00015428524,6.6122244e-05,3.0,0.0,0.0,0.00046285574,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-15,4.0,0.0,0.2857143,0.00061714096,0.0,4.40815e-05,3.0,0.0,0.0,0.00046285574,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-16,4.0,0.0,0.2857143,0.00061714096,0.0,4.40815e-05,3.0,0.0,0.0,0.00046285574,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-17,5.0,1.0,0.42857143,0.0007714262,0.00015428524,6.6122244e-05,3.0,0.0,0.0,0.00046285574,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-18,5.0,0.0,0.42857143,0.0007714262,0.0,6.6122244e-05,3.0,0.0,0.0,0.00046285574,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World excl. China and South Korea,2020-01-19,7.0,2.0,0.71428573,0.0010799967,0.00030857048,0.00011020374,3.0,0.0,0.0,0.00046285574,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
